,,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away
Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/G,xG,xGA,xGD,xGD/90,MP,W,D,L,GF,GA,GD,Pts,Pts/G,xG,xGA,xGD,xGD/90
1,Liverpool,19,18,1,0,52,16,+36,55,2.89,40.3,18.4,+21.9,+1.15,19,14,2,3,33,17,+16,44,2.32,31.2,21.6,+9.5,+0.50
2,Manchester City,19,15,2,2,57,13,+44,47,2.47,47.5,15.2,+32.3,+1.70,19,11,1,7,45,22,+23,34,1.79,45.5,19.5,+26.0,+1.37
3,Manchester Utd,19,10,7,2,40,17,+23,37,1.95,31.0,16.4,+14.6,+0.77,19,8,5,6,26,19,+7,29,1.53,28.4,21.1,+7.4,+0.39
4,Chelsea,19,11,3,5,30,16,+14,36,1.89,37.4,10.7,+26.7,+1.40,19,9,3,7,39,38,+1,30,1.58,29.2,27.2,+2.0,+0.10
5,Leicester City,19,11,4,4,35,17,+18,37,1.95,30.6,21.8,+8.7,+0.46,19,7,4,8,32,24,+8,25,1.32,31.0,22.7,+8.3,+0.44
6,Tottenham,19,12,3,4,36,17,+19,39,2.05,24.4,23.3,+1.1,+0.06,19,4,8,7,25,30,-5,20,1.05,21.6,28.7,-7.1,-0.37
7,Wolves,19,8,7,4,27,19,+8,31,1.63,25.9,16.5,+9.3,+0.49,19,7,7,5,24,21,+3,28,1.47,21.2,18.3,+2.9,+0.15
8,Arsenal,19,10,6,3,36,24,+12,36,1.89,27.2,30.7,-3.5,-0.19,19,4,8,7,20,24,-4,20,1.05,22.0,25.8,-3.8,-0.20
9,Sheffield Utd,19,10,3,6,24,15,+9,33,1.74,26.2,19.7,+6.5,+0.34,19,4,9,6,15,24,-9,21,1.11,15.3,28.2,-12.9,-0.68
10,Burnley,19,8,4,7,24,23,+1,28,1.47,27.2,21.2,+6.0,+0.32,19,7,5,7,19,27,-8,26,1.37,16.6,27.1,-10.4,-0.55
11,Southampton,19,6,3,10,21,35,-14,21,1.11,23.2,28.1,-5.0,-0.26,19,9,4,6,30,25,+5,31,1.63,30.8,24.9,+5.9,+0.31
12,Everton,19,8,7,4,24,21,+3,31,1.63,27.4,23.4,+4.0,+0.21,19,5,3,11,20,35,-15,18,0.95,21.8,24.9,-3.1,-0.16
13,Newcastle Utd,19,6,8,5,20,21,-1,26,1.37,18.1,28.0,-9.9,-0.52,19,5,3,11,18,37,-19,18,0.95,15.0,30.3,-15.3,-0.81
14,Crystal Palace,19,6,5,8,15,20,-5,23,1.21,17.6,19.7,-2.1,-0.11,19,5,5,9,16,30,-14,20,1.05,16.4,31.6,-15.2,-0.80
15,Brighton,19,5,7,7,20,27,-7,22,1.16,20.9,26.0,-5.1,-0.27,19,4,7,8,19,27,-8,19,1.00,20.3,28.5,-8.2,-0.43
16,West Ham,19,6,4,9,30,33,-3,22,1.16,23.7,29.1,-5.5,-0.29,19,4,5,10,19,29,-10,17,0.89,22.5,31.9,-9.4,-0.49
17,Aston Villa,19,7,3,9,22,30,-8,24,1.26,21.6,31.3,-9.8,-0.52,19,2,5,12,19,37,-18,11,0.58,18.5,34.5,-16.0,-0.84
18,Bournemouth,19,5,6,8,22,30,-8,21,1.11,22.2,25.2,-2.9,-0.15,19,4,1,14,18,35,-17,13,0.68,20.4,32.3,-11.9,-0.63
19,Watford,19,6,6,7,22,27,-5,24,1.26,26.7,27.5,-0.8,-0.04,19,2,4,13,14,37,-23,10,0.53,18.5,29.9,-11.4,-0.60
20,Norwich City,19,4,3,12,19,37,-18,15,0.79,20.4,31.7,-11.3,-0.60,19,1,3,15,7,38,-31,6,0.32,17.7,30.2,-12.6,-0.66